Jugador;Posicion;Edad;Altura;Pie;Fichado;Equipo_Anterior;Valor_Mercado;Equipo
Gonzalo Piovi;Lateral izquierdo;18;1.8;izquierdo;08/02/2018;Argentinos Juniors;1000000;Racing
Gustavo Cortez;Lateral izquierdo;20;1.74;izquierdo;16/09/2021;CD Universidad Católica;500000;Racing
Fernando Prado;Lateral izquierdo;27;1.76;izquierdo;01/07/2021;Racing Club Inferiores;125000;Racing
Facundo Mura;Lateral derecho;24;1.7;derecho;13/01/2022;Club Estudiantes de La Plata;3500000;Racing
Juan José Cáceres;Lateral derecho;22;1.77;derecho;01/09/2020;Racing Club Inferiores;1200000;Racing
José Luis Gómez;Lateral derecho;21;1.75;derecho;01/07/2013;Racing Club Inferiores;325000;Racing
Ezequiel Schelotto;Lateral derecho;36;1.87;derecho;04/02/2021;Libre;275000;Racing
Iván Pillud;Lateral derecho;22;1.8;derecho;08/07/2010;CA Tiro Federal;100000;Racing
Aníbal Moreno;Pivote;20;1.77;derecho;01/01/2022;CA Racing;6000000;Racing
Mauricio Martínez;Pivote;18;1.86;derecho;12/07/2018;CA Rosario Central;425000;Racing
Patricio Tanda;Pivote;19;1.75;izquierdo;;;50000;Racing
Carlos Alcaraz;Mediocentro;21;1.83;derecho;01/01/2020;Racing Club Inferiores;8000000;Racing
Leonel Miranda;Mediocentro;20;1.73;derecho;01/07/2020;CSD Defensa y Justicia;2400000;Racing
Fabricio Domínguez;Mediocentro;21;1.77;derecho;01/07/2018;Racing Club Inferiores;1200000;Racing
Catriel Cabellos;Mediocentro;22;1.72;derecho;01/07/2023;Racing Club Inferiores;;Racing
Matías Rojas;Mediocentro ofensivo;19;1.8;izquierdo;01/07/2019;Club Cerro Porteño;3300000;Racing
Edwin Cardona;Mediocentro ofensivo;29;1.85;derecho;11/01/2022;Club Tijuana;3200000;Racing
Emiliano Vecchio;Mediocentro ofensivo;23;1.77;derecho;03/06/2022;CA Rosario Central;1200000;Racing
Jonatan Gómez;Mediocentro ofensivo;21;1.71;derecho;03/01/2023;Argentinos Juniors;675000;Racing
Nicolás Oroz;Mediocentro ofensivo;29;1.71;izquierdo;01/07/2014;Racing Club Inferiores;500000;Racing
Gonzalo Córdoba;Mediocentro ofensivo;23;1.6;derecho;;;50000;Racing
Maico Quiroz;Mediocentro ofensivo;21;1.75;derecho;;;50000;Racing
Baltasar Rodríguez;Mediocentro ofensivo;20;1.73;derecho;;;;Racing
Tomás Chancalay;Extremo izquierdo;21;1.79;derecho;01/01/2022;Club Atlético Colón;4000000;Racing
Johan Carbonero;Extremo izquierdo;28;1.7;derecho;25/06/2022;Club de Gimnasia y Esgrima La Plata;3000000;Racing
Alexis Cuello;Mediapunta;27;1.7;derecho;;;175000;Racing
Nicolás Meaurio;Mediapunta;35;;;;;;Racing
Enzo Copetti;Delantero centro;24;1.8;derecho;01/01/2022;Atlético de Rafaela;3200000;Racing
Maximiliano Romero;Delantero centro;28;1.8;derecho;25/06/2022;PSV Eindhoven;3000000;Racing
Javier Correa;Delantero centro;22;1.84;derecho;01/07/2021;Santos Laguna;2000000;Racing
Gabriel Hauche;Delantero centro;21;1.69;derecho;01/01/2022;Club Atlético Aldosivi;375000;Racing
Román Fernández;Delantero centro;22;1.72;derecho;;;;Racing
Emiliano Saliadarre;Delantero centro;23;1.78;izquierdo;;;;Racing
Leandro Iglesias;Delantero;24;;izquierdo;;;;Rosario Central
Gaspar Servio;Portero;21;1.85;derecho;03/01/2022;Club Guaraní;1000000;Rosario Central
Jorge Broun;Portero;23;1.9;derecho;10/02/2021;Club de Gimnasia y Esgrima La Plata;350000;Rosario Central
Juan Pablo Romero;Portero;22;1.81;derecho;01/09/2020;Club Atlético Rosario Central Inferiores;125000;Rosario Central
Josué Ayala;Portero;28;1.84;izquierdo;01/07/2019;Club Atlético Temperley;50000;Rosario Central
Juan Komar;Defensa central;33;1.9;derecho;18/02/2022;Club Atlético Talleres;2500000;Rosario Central
Facundo Almada;Defensa central;36;1.82;derecho;01/08/2020;Club Atlético Rosario Central Inferiores;750000;Rosario Central
Cristian Báez;Defensa central;23;1.8;derecho;19/01/2022;Club Libertad Asunción;550000;Rosario Central
Julián Velázquez;Defensa central;29;1.84;derecho;16/02/2022;Club Tijuana;550000;Rosario Central
Juan Gabriel Rodríguez;Defensa central;20;1.88;derecho;12/07/2022;CSD Defensa y Justicia;400000;Rosario Central
Ricardo Garay;Defensa central;19;1.86;derecho;14/07/2021;Club Nacional Asunción;125000;Rosario Central
Jonatan Bogado;Defensa central;28;1.77;derecho;;;25000;Rosario Central
Kevin Silva;Defensa central;24;1.85;derecho;;;;Rosario Central
Lautaro Blanco;Lateral izquierdo;17;1.76;izquierdo;08/08/2022;Elche CF;1500000;Rosario Central
Marcelo Benítez;Lateral izquierdo;26;1.78;izquierdo;10/02/2022;CSD Defensa y Justicia;625000;Rosario Central
Nazareno Romero;Lateral izquierdo;29;1.72;izquierdo;09/02/2022;CA Vélez Sarsfield Inferiores;75000;Rosario Central
Joan Mazzaco;Lateral izquierdo;33;1.74;izquierdo;;;50000;Rosario Central
Nahuel Franco;Lateral izquierdo;32;1.77;izquierdo;;;50000;Rosario Central
Fernando Rodríguez;Lateral izquierdo;28;1.82;izquierdo;;;;Rosario Central
Damián Martínez;Lateral derecho;22;1.77;derecho;23/01/2020;Club Atlético Unión;800000;Rosario Central
Fernando Torrent;Lateral derecho;20;1.73;derecho;07/09/2020;Defensores de Belgrano;225000;Rosario Central
Ulises Ciccioli;Lateral derecho;18;1.73;derecho;;;25000;Rosario Central
Leonel Vergara;Lateral derecho;23;1.75;derecho;;;;Rosario Central
Ismael Cortéz;Lateral derecho;22;1.85;derecho;01/07/2022;CA Gimnasia y Esgrima Mendoza;;Rosario Central
Francis Mac Allister;Pivote;21;1.76;derecho;12/06/2022;Club Atlético Talleres;750000;Rosario Central
Emmanuel Ojeda;Pivote;22;1.8;derecho;01/01/2019;Club Atlético Rosario Central Inferiores;600000;Rosario Central
Claudio Yacob;Pivote;19;1.82;derecho;03/02/2022;CA Huracán;400000;Rosario Central
José Leudo;Pivote;26;1.83;derecho;01/07/2022;Boyacá Patriotas FC;200000;Rosario Central
Mateo Tanlongo;Pivote;23;1.77;derecho;01/01/2022;Club Atlético Rosario Central Inferiores;125000;Rosario Central
Julio Luques;Pivote;29;1.72;derecho;;;50000;Rosario Central
Kevin Ortiz;Pivote;35;1.7;derecho;01/07/2022;Club Atlético Rosario Central Inferiores;25000;Rosario Central
Gino Infantino;Mediocentro;16;1.78;izquierdo;01/07/2021;Club Atlético Rosario Central Inferiores;750000;Rosario Central
Martín Rabuñal;Mediocentro;20;1.84;derecho;04/03/2021;Defensor Sporting Club;500000;Rosario Central
Ramiro Peralta;Mediocentro;19;;derecho;;;;Rosario Central
Juan Cruz Cerrudo;Interior derecho;22;1.68;derecho;;;;Rosario Central
Francesco Lo Celso;Mediocentro ofensivo;22;1.75;izquierdo;05/06/2019;Club Atlético Rosario Central Inferiores;275000;Rosario Central
Michael Covea;Mediocentro ofensivo;21;1.77;derecho;30/07/2021;Deportivo Táchira;125000;Rosario Central
Facundo Buonanotte;Mediocentro ofensivo;26;1.74;izquierdo;01/01/2022;Club Atlético Rosario Central Inferiores;50000;Rosario Central
Tomás O'Connor;Mediocentro ofensivo;21;;izquierdo;;;;Rosario Central
Ignacio Malcorra;Extremo izquierdo;27;1.7;izquierdo;25/06/2022;Club Atlético Lanús;1500000;Rosario Central
Luciano Ferreyra;Extremo izquierdo;21;1.68;derecho;11/08/2020;Club Atlético Rosario Central Inferiores;1300000;Rosario Central
Walter Montoya;Extremo derecho;22;1.73;derecho;03/01/2022;CD Cruz Azul;1400000;Rosario Central
Franco Bustos;Extremo derecho;26;1.74;ambidiestro;;;;Rosario Central
Jhonatan Candia;Delantero centro;33;1.71;derecho;02/07/2022;CA Huracán;1200000;Rosario Central
Gustavo Ramírez;Delantero centro;26;1.81;derecho;12/07/2022;Deportes Tolima;650000;Rosario Central
Luca Martínez Dupuy;Delantero centro;24;1.78;derecho;01/01/2021;Club Atlético Rosario Central Inferiores;650000;Rosario Central
Lucas Gamba;Delantero centro;19;1.84;derecho;01/08/2019;CA Huracán;600000;Rosario Central
Milton Caraglio;Delantero centro;22;1.87;izquierdo;05/07/2021;Atlas Guadalajara;475000;Rosario Central
Alejo Véliz;Delantero centro;26;1.86;derecho;01/07/2022;Club Atlético Rosario Central Inferiores;175000;Rosario Central
Franco Frías;Delantero centro;23;1.74;derecho;01/01/2022;Club Atlético Rosario Central Inferiores;25000;Rosario Central
Marco Ruben;Delantero centro;20;1.79;derecho;26/01/2021;inactivo;;Rosario Central
Fabricio Oviedo;Delantero centro;24;1.81;derecho;;;;Rosario Central
Franco Armani;Portero;24;1.89;derecho;03/01/2018;Atlético Nacional;3500000;River Plate
Ezequiel Centurión;Portero;22;1.84;derecho;01/01/2022;Libre;300000;River Plate
Franco Petroli;Portero;29;1.87;izquierdo;01/01/2022;Libre;50000;River Plate
Paulo Díaz;Defensa central;30;1.82;derecho;01/08/2019;AlAhli SFC;7000000;River Plate
David Martínez;Defensa central;21;1.85;izquierdo;01/01/2023;CSD Defensa y Justicia;6500000;River Plate
Robert Rojas;Defensa central;33;1.76;derecho;16/01/2019;Club Guaraní;4500000;River Plate
Leandro González Pírez;Defensa central;25;1.86;derecho;10/01/2022;Inter Miami CF;1700000;River Plate
Emanuel Mammana;Defensa central;34;1.83;derecho;10/01/2022;Libre;1500000;River Plate
Javier Pinola;Defensa central;22;1.8;izquierdo;01/07/2017;CA Rosario Central;175000;River Plate
Jonatan Maidana;Defensa central;17;1.85;derecho;13/02/2021;Deportivo Toluca FC;175000;River Plate
Elías Gómez;Lateral izquierdo;21;1.74;izquierdo;27/01/2022;Argentinos Juniors;3200000;River Plate
Fabrizio Angileri;Lateral izquierdo;22;1.85;izquierdo;01/07/2019;CD Godoy Cruz Antonio Tomba;3000000;River Plate
Milton Casco;Lateral izquierdo;19;1.69;derecho;10/09/2015;CA Newell's Old Boys;2000000;River Plate
Andrés Herrera;Lateral derecho;18;1.78;derecho;08/02/2022;CA San Lorenzo de Almagro;3200000;River Plate
Enzo Fernández;Pivote;26;1.78;derecho;01/07/2021;Libre;15000000;River Plate
Bruno Zuculini;Pivote;19;1.82;derecho;29/01/2018;Libre.25 mill. €;2000000;River Plate
Enzo Pérez;Pivote;25;1.79;derecho;01/07/2017;Valencia CF;2000000;River Plate
Felipe Peña Biafore;Pivote;26;1.8;derecho;01/01/2023;CA River Plate Inferiores;750000;River Plate
Nicolás de la Cruz;Mediocentro;23;1.67;derecho;15/08/2017;Liverpool FC Montevideo;13000000;River Plate
Rodrigo Aliendro;Mediocentro;23;1.73;derecho;27/06/2022;Club Atlético Colón;2300000;River Plate
José Paradela;Mediocentro;24;1.8;izquierdo;15/02/2021;Club de Gimnasia y Esgrima La Plata;1300000;River Plate
Agustín Palavecino;Mediocentro ofensivo;22;1.79;derecho;12/02/2021;Deportivo Cali;6000000;River Plate
Juan Fernando Quintero;Mediocentro ofensivo;27;1.69;izquierdo;10/02/2022;Shenzhen FC;5000000;River Plate
Tomás Pochettino;Mediocentro ofensivo;29;1.8;derecho;10/01/2022;Austin FC;3900000;River Plate
Esequiel Barco;Extremo izquierdo;20;1.67;derecho;29/01/2022;Atlanta United FC;10000000;River Plate
Santiago Simón;Extremo derecho;26;1.81;derecho;01/07/2021;Libre;6000000;River Plate
Pablo Solari;Extremo derecho;27;1.78;derecho;18/07/2022;CSD Colo Colo;1800000;River Plate
Franco Alfonso;Extremo derecho;18;1.65;derecho;01/01/2023;CA River Plate Inferiores;;River Plate
Julián Álvarez;Delantero centro;22;1.7;derecho;01/02/2022;Manchester City;23000000;River Plate
Braian Romero;Delantero centro;23;1.75;derecho;07/07/2021;CSD Defensa y Justicia;4000000;River Plate
Miguel Borja;Delantero centro;20;1.84;derecho;12/07/2022;Junior de Barranquilla;3700000;River Plate
Matías Suárez;Delantero centro;23;1.83;derecho;26/01/2019;Club Atlético Belgrano;3000000;River Plate
Lucas Beltrán;Delantero centro;34;1.76;derecho;01/07/2021;Libre;1500000;River Plate
Flabián Londoño;Delantero centro;22;1.8;derecho;01/01/2023;CA River Plate Inferiores;50000;River Plate
Joaquín Panichelli;Delantero centro;19;1.87;derecho;;;;River Plate
Augusto Batalla;Portero;22;1.86;derecho;26/07/2021;Libre09 mil €;500000;San Lorenzo
Sebastián Torrico;Portero;31;1.86;derecho;04/07/2013;CD Godoy Cruz Antonio Tomba;100000;San Lorenzo
Mateo Clemente;Portero;18;1.84;;;;25000;San Lorenzo
Federico Gattoni;Defensa central;23;1.83;derecho;01/02/2023;Sevilla FC;1700000;San Lorenzo
Francisco Flores;Defensa central;30;1.81;derecho;01/01/2020;CA San Lorenzo de Almagro Inferiores;1700000;San Lorenzo
Gastón Campi;Defensa central;26;1.93;izquierdo;11/07/2022;Yeni Malatyaspor;500000;San Lorenzo
Alejandro Donatti;Defensa central;24;1.92;derecho;24/01/2020;Racing Club;300000;San Lorenzo
Cristián Zapata;Defensa central;22;1.87;derecho;28/07/2021;Libre;275000;San Lorenzo
Gastón Hernández;Defensa central;20;1.85;derecho;01/01/2022;CA San Lorenzo de Almagro Inferiores;250000;San Lorenzo
Diego Calcaterra;Defensa central;22;1.89;derecho;01/07/2022;CA Newell's Old Boys;75000;San Lorenzo
Jeremías James;Defensa central;27;1.91;izquierdo;01/01/2022;CA San Lorenzo de Almagro Inferiores;25000;San Lorenzo
Nicolás Fernández Mercau;Lateral izquierdo;25;1.72;izquierdo;01/07/2021;CA San Lorenzo de Almagro Inferiores;2500000;San Lorenzo
Gabriel Rojas;Lateral izquierdo;27;1.73;izquierdo;01/07/2016;CA San Lorenzo de Almagro Inferiores;1000000;San Lorenzo
Tomás Silva;Lateral izquierdo;24;1.75;izquierdo;01/01/2022;CA San Lorenzo de Almagro Inferiores;50000;San Lorenzo
Gino Peruzzi;Lateral derecho;25;1.79;derecho;18/01/2019;CA Boca Juniors;750000;San Lorenzo
Agustín Peralta Bauer;Lateral derecho;24;1.62;derecho;01/07/2021;CA San Lorenzo de Almagro Inferiores;50000;San Lorenzo
Gonzalo Luján;Lateral derecho;22;1.84;derecho;01/07/2022;CA San Lorenzo de Almagro Inferiores;50000;San Lorenzo
Ezequiel Herrera;Lateral derecho;24;1.8;;;;25000;San Lorenzo
Agustín Giay;Lateral derecho;23;1.8;derecho;01/07/2022;CA San Lorenzo de Almagro Inferiores;;San Lorenzo
Yeison Gordillo;Pivote;30;1.76;derecho;18/02/2021;Libre;1300000;San Lorenzo
Siro Rosané;Pivote;31;1.81;derecho;01/03/2021;CA San Lorenzo de Almagro Inferiores;650000;San Lorenzo
Néstor Ortigoza;Pivote;24;1.8;derecho;01/07/2021;AA Estudiantes Río Cuarto;125000;San Lorenzo
Elián Irala;Pivote;22;1.76;derecho;01/01/2023;CA San Lorenzo de Almagro Inferiores;;San Lorenzo
Juan Ignacio Méndez;Mediocentro;20;1.77;derecho;09/07/2022;Club Atlético Talleres;2800000;San Lorenzo
Jalil Elías;Mediocentro;22;1.75;derecho;10/02/2021;CD Godoy Cruz Antonio Tomba;1200000;San Lorenzo
Francisco Perruzzi;Mediocentro;21;1.77;derecho;01/07/2022;CA San Lorenzo de Almagro Inferiores;25000;San Lorenzo
Malcom Braida;Interior izquierdo;20;1.75;derecho;17/01/2022;Instituto AC Córdoba;900000;San Lorenzo
Gonzalo Maroni;Mediocentro ofensivo;28;1.7;derecho;01/07/2022;CA Boca Juniors;3000000;San Lorenzo
Agustín Martegani;Mediocentro ofensivo;28;1.85;izquierdo;01/07/2021;CA San Lorenzo de Almagro Inferiores;750000;San Lorenzo
Alexis Sabella;Mediocentro ofensivo;27;1.78;derecho;01/09/2020;CA San Lorenzo de Almagro Inferiores;650000;San Lorenzo
Luis Sequeira;Mediocentro ofensivo;20;1.72;derecho;;;200000;San Lorenzo
Ricardo Centurión;Extremo izquierdo;24;1.74;derecho;19/01/2022;CA Vélez Sarsfield;1500000;San Lorenzo
Nahuel Barrios;Extremo izquierdo;24;1.56;derecho;01/07/2018;CA San Lorenzo de Almagro Inferiores;900000;San Lorenzo
Ezequiel Cerutti;Extremo derecho;27;1.79;derecho;01/07/2019;Libre;800000;San Lorenzo
Iván Leguizamón;Extremo derecho;25;1.74;izquierdo;01/01/2022;CA San Lorenzo de Almagro Inferiores;25000;San Lorenzo
Nicolás Emanuel Fernández;Delantero centro;22;1.66;derecho;20/01/2020;CSD Defensa y Justicia;2600000;San Lorenzo
Adam Bareiro;Delantero centro;31;1.84;derecho;01/01/2023;CF Monterrey;2300000;San Lorenzo
Andrés Vombergar;Delantero centro;31;1.88;derecho;26/07/2022;Atlético de San Luis;800000;San Lorenzo
Nicolás Blandi;Delantero centro;23;1.8;derecho;11/02/2022;Club Atlético Unión;350000;San Lorenzo
Agustín Hausch;Delantero centro;19;1.77;derecho;;;175000;San Lorenzo
Eduardo Garcia;Delantero centro;19;1.73;derecho;;;25000;San Lorenzo
Matías Hernández;Delantero centro;27;1.78;;;;;San Lorenzo
Leandro Villar;Centrocampista;34;;;;;25000;Tigre
Lorenzo Scipioni;Centrocampista;39;;;;;;Tigre
Manuel Roffo;Portero;19;1.85;derecho;26/03/2021;CA Boca Juniors;650000;Tigre
Felipe Zenobio;Portero;21;1.83;derecho;01/02/2021;Club Atlético Tigre Inferiores;450000;Tigre
Gonzalo Marinelli;Portero;28;1.79;derecho;01/07/2018;Libre;350000;Tigre
Oscar Salomón;Defensa central;24;1.81;derecho;06/01/2022;CA Boca Juniors Inferiores;800000;Tigre
Nicolás Demartini;Defensa central;21;1.79;izquierdo;07/01/2022;Club Atlético Temperley;700000;Tigre
Víctor Cabrera;Defensa central;22;1.79;derecho;12/02/2021;Houston Dynamo FC;500000;Tigre
Abel Luciatti;Defensa central;29;1.79;izquierdo;20/07/2020;CA San Martín Tucumán;400000;Tigre
Facundo Giacopuzzi;Defensa central;28;1.85;derecho;10/08/2020;Club Atlético Tigre Inferiores;50000;Tigre
Brian Leizza;Defensa central;21;1.86;;01/07/2022;Club Atlético Tigre Inferiores;25000;Tigre
Sebastián Prieto;Lateral izquierdo;18;1.75;izquierdo;20/07/2020;Club Atlético Temperley;650000;Tigre
Diego Sosa;Lateral izquierdo;20;1.77;izquierdo;01/01/2017;Club Atlético Tigre Inferiores;125000;Tigre
Franco Saavedra;Lateral izquierdo;31;1.78;izquierdo;01/01/2023;Club Atlético Tigre Inferiores;25000;Tigre
Lucas Blondel;Lateral derecho;29;1.78;derecho;18/02/2021;Atlético de Rafaela;1500000;Tigre
Martín Ortega;Lateral derecho;21;1.81;derecho;08/07/2022;Quilmes Atlético Club;250000;Tigre
Sebastián Prediger;Pivote;28;1.83;derecho;10/01/2018;CA San Martín Tucumán;150000;Tigre
Agustin Baldi;Pivote;25;1.85;izquierdo;01/06/2022;Club Atlético Tigre Inferiores;100000;Tigre
Alexis Castro;Mediocentro;28;1.83;izquierdo;17/01/2022;CA San Lorenzo de Almagro;2000000;Tigre
Lucas Menossi;Mediocentro;22;1.69;derecho;06/01/2022;CA San Lorenzo de Almagro;1400000;Tigre
Cristian Zabala;Mediocentro;20;1.87;derecho;26/10/2020;Quilmes Atlético Club;800000;Tigre
Mateo Cáceres;Mediocentro;28;1.7;derecho;;;25000;Tigre
Martín Galmarini;Interior derecho;22;1.8;derecho;18/07/2014;CF Atlante;25000;Tigre
Matías Espíndola;Mediocentro ofensivo;20;1.77;derecho;;;25000;Tigre
Ezequiel Forclaz;Mediocentro ofensivo;18;1.73;derecho;;;25000;Tigre
Agustín Obando;Extremo izquierdo;21;1.76;izquierdo;21/01/2022;CA Boca Juniors;1500000;Tigre
Blas Armoa;Extremo izquierdo;20;1.79;derecho;03/01/2023;Sportivo Luqueño;475000;Tigre
Mateo Retegui;Delantero centro;28;1.86;derecho;08/02/2022;CA Boca Juniors;1500000;Tigre
Pablo Magnin;Delantero centro;23;1.79;derecho;26/08/2020;CA Sarmiento Junín;900000;Tigre
Facundo Colidio;Delantero centro;29;1.8;derecho;04/01/2022;Inter de Milán;750000;Tigre
Ijiel Protti;Delantero centro;28;1.74;izquierdo;17/08/2020;Atlético de Rafaela;650000;Tigre
Gonzalo Flores;Delantero centro;18;1.75;derecho;01/01/2023;Club Atlético Tigre Inferiores;25000;Tigre
Jonathan Berón;Delantero;28;1.73;derecho;01/07/2023;CA Vélez Sarsfield Inferiores;;Velez Sarsfield
Lucas Hoyos;Portero;23;1.83;derecho;02/07/2018;Instituto AC Córdoba;800000;Velez Sarsfield
Leonardo Burián;Portero;24;1.88;derecho;28/06/2022;Club Atlético Colón;725000;Velez Sarsfield
Carlos Lampe;Portero;29;1.92;derecho;08/07/2021;Club Always Ready;375000;Velez Sarsfield
Matías Borgogno;Portero;27;1.88;derecho;01/01/2021;CA Vélez Sarsfield Inferiores;100000;Velez Sarsfield
Emmanuel Gómez Riga;Portero;27;1.86;derecho;;;25000;Velez Sarsfield
Lautaro Giannetti;Defensa central;34;1.85;derecho;01/07/2015;Libre;4500000;Velez Sarsfield
Diego Godín;Defensa central;19;1.87;derecho;21/06/2022;Clube Atlético Mineiro;1000000;Velez Sarsfield
Matías De los Santos;Defensa central;28;1.87;derecho;17/02/2021;Millonarios FC;900000;Velez Sarsfield
Valentín Gómez;Defensa central;23;1.8;izquierdo;01/01/2022;CA Vélez Sarsfield Inferiores;600000;Velez Sarsfield
Miguel Brizuela;Defensa central;24;1.82;izquierdo;01/08/2020;CA Vélez Sarsfield Inferiores;475000;Velez Sarsfield
Yago De Vito;Defensa central;38;1.83;izquierdo;;;25000;Velez Sarsfield
Damián Fernández;Defensa central;18;1.79;derecho;01/07/2022;CA Vélez Sarsfield Inferiores;10000;Velez Sarsfield
Patricio Pernicone;Defensa central;22;1.83;;;;;Velez Sarsfield
Francisco Ortega;Lateral izquierdo;39;1.77;izquierdo;01/01/2018;Libre;4000000;Velez Sarsfield
Emanuel Insúa;Lateral izquierdo;23;1.82;izquierdo;25/01/2022;AEK Atenas FC;450000;Velez Sarsfield
Tomás Guidara;Lateral derecho;24;1.73;derecho;01/07/2019;Club Atlético Belgrano;3500000;Velez Sarsfield
Leonardo Jara;Lateral derecho;27;1.85;derecho;24/07/2021;CA Boca Juniors;475000;Velez Sarsfield
Joaquín García;Lateral derecho;34;1.82;derecho;;;;Velez Sarsfield
Santiago Cáseres;Pivote;22;1.79;derecho;19/02/2022;Villarreal CF;4500000;Velez Sarsfield
Máximo Perrone;Pivote;24;1.77;izquierdo;01/01/2022;CA Vélez Sarsfield Inferiores;2000000;Velez Sarsfield
Agustín Mulet;Pivote;22;1.79;derecho;01/07/2020;CA Vélez Sarsfield Inferiores;800000;Velez Sarsfield
Mateo Seoane;Pivote;23;1.78;derecho;01/07/2022;CA Vélez Sarsfield Inferiores;25000;Velez Sarsfield
José Florentín;Mediocentro;31;1.84;izquierdo;15/01/2022;Club Guaraní;1500000;Velez Sarsfield
Franco Díaz;Mediocentro;26;1.81;derecho;12/01/2022;Club Atlético Temperley;300000;Velez Sarsfield
Nicolás Garayalde;Mediocentro;29;1.84;derecho;01/07/2021;CA Vélez Sarsfield Inferiores;300000;Velez Sarsfield
Christian Ordóñez;Mediocentro;28;1.77;derecho;01/01/2023;CA Vélez Sarsfield Inferiores;;Velez Sarsfield
Joel Soñora;Mediocentro ofensivo;39;1.73;derecho;01/02/2022;CA Banfield;825000;Velez Sarsfield
Elías Cabrera;Mediocentro ofensivo;23;1.72;derecho;01/01/2023;CA Vélez Sarsfield Inferiores;;Velez Sarsfield
Lucas Janson;Extremo izquierdo;19;1.71;derecho;25/07/2019;Club Atlético Tigre;5000000;Velez Sarsfield
Jonathan Menéndez;Extremo izquierdo;19;1.64;derecho;12/07/2022;Real Salt Lake City;2000000;Velez Sarsfield
Agustín Bouzat;Extremo izquierdo;17;1.7;izquierdo;01/01/2018;CA Boca Juniors;1300000;Velez Sarsfield
Lenny Lobato;Extremo izquierdo;22;1.74;izquierdo;01/01/2023;CA Vélez Sarsfield Inferiores;25000;Velez Sarsfield
Luca Orellano;Extremo derecho;22;1.78;izquierdo;01/07/2019;CA Vélez Sarsfield Inferiores;8000000;Velez Sarsfield
Julián Fernández;Extremo derecho;33;1.83;izquierdo;01/07/2022;CA Vélez Sarsfield Inferiores;450000;Velez Sarsfield
Federico Versaci;Extremo derecho;23;1.7;izquierdo;;;50000;Velez Sarsfield
Gianluca Prestianni;Extremo derecho;22;1.66;derecho;01/01/2023;CA Vélez Sarsfield Inferiores;;Velez Sarsfield
Walter Bou;Delantero centro;29;1.74;derecho;25/06/2022;CSD Defensa y Justicia;4000000;Velez Sarsfield
Sebastián Sosa Sánchez;Delantero centro;29;1.87;derecho;20/01/2022;CA Boston River;1300000;Velez Sarsfield
Lucas Pratto;Delantero centro;21;1.86;derecho;27/08/2021;Libre;450000;Velez Sarsfield
Santiago Castro;Delantero centro;22;1.79;derecho;01/01/2022;CA Vélez Sarsfield Inferiores;100000;Velez Sarsfield
Abiel Osorio;Delantero centro;24;1.82;derecho;01/01/2022;CA Vélez Sarsfield Inferiores;25000;Velez Sarsfield
